iter	Passed	Remaining
579	8919	6458
580	8930	6440
581	8942	6422
582	8954	6404
583	8966	6386
584	8977	6368
585	8989	6350
586	9000	6332
587	9010	6313
588	9023	6296
589	9035	6278
590	9045	6260
591	9056	6241
592	9067	6223
593	9082	6207
594	9096	6191
595	9108	6174
596	9121	6157
597	9135	6141
598	9150	6125
599	9164	6109
600	9178	6093
601	9192	6077
602	9207	6061
603	9223	6046
604	9239	6032
605	9255	6017
606	9272	6003
607	9288	5988
608	9304	5973
609	9321	5959
610	9338	5945
611	9354	5930
612	9370	5916
613	9386	5901
614	9403	5886
615	9419	5872
616	9436	5857
617	9453	5843
618	9470	5829
619	9487	5814
620	9504	5800
621	9520	5786
622	9537	5771
623	9554	5756
624	9571	5742
625	9607	5739
626	9643	5736
627	9677	5732
628	9717	5731
629	9753	5728
630	9789	5724
631	9818	5717
632	9850	5711
633	9884	5705
634	9917	5700
635	9948	5693
636	9979	5687
637	10011	5680
638	10042	5673
639	10074	5666
640	10106	5660
641	10137	5652
642	10169	5646
643	10200	5638
644	10231	5631
645	10263	5624
646	10285	5611
647	10299	5594
648	10313	5577
649	10324	5559
650	10336	5541
651	10347	5522
652	10358	5504
653	10368	5485
654	10380	5467
655	10390	5448
656	10402	5430
657	10415	5413
658	10429	5396
659	10443	5379
660	10459	5364
661	10474	5348
662	10489	5331
663	10505	5315
664	10520	5300
665	10536	5283
666	10551	5267
667	10566	5251
668	10582	5235
669	10598	5220
670	10615	5204
671	10631	5189
672	10647	5173
673	10662	5157
674	10679	5141
675	10695	5126
676	10712	5111
677	10729	5095
678	10746	5080
679	10769	5067
680	10785	5052
681	10802	5036
682	10819	5021
683	10838	5007
684	10855	4991
685	10872	4976
686	10891	4962
687	10907	4946
688	10924	4931
689	10942	4916
690	10958	4900
691	10974	4884
692	10992	4869
693	11010	4854
694	11027	4839
695	11047	4825
696	11067	4811
697	11087	4797
698	11105	4782
699	11121	4766
700	11135	4749
701	11146	4731
702	11158	4714
703	11170	4696
704	11182	4679
705	11194	4661
706	11207	4644
707	11219	4627
708	11230	4609
709	11242	4591
710	11254	4574
711	11266	4557
712	11278	4539
713	11291	4522
714	11303	4505
715	11317	4488
716	11329	4471
717	11341	4454
718	11353	4437
719	11365	4419
720	11378	4403
721	11392	4386
722	11405	4369
723	11418	4352
724	11431	4336
725	11445	4319
726	11457	4302
727	11469	4285
728	11483	4268
729	11495	4251
730	11508	4234
731	11521	4218
732	11533	4201
733	11544	4183
734	11556	4166
735	11568	4149
736	11582	4133
737	11594	4116
738	11608	4099
739	11621	4083
740	11634	4066
741	11649	4050
742	11664	4034
743	11679	4018
744	11693	4002
745	11707	3986
746	11722	3970
747	11736	3954
748	11751	3937
749	11770	3923
750	11785	3907
751	11799	3891
752	11813	3874
753	11827	3858
754	11842	3843
755	11857	3827
756	11872	3811
757	11887	3795
758	11902	3779
759	11920	3764
760	11936	3748
761	11951	3733
762	11967	3717
763	11983	3701
764	11998	3685
765	12014	3670
766	12029	3654
767	12043	3638
768	12058	3622
769	12076	3607
770	12093	3592
771	12110	3576
772	12127	3561
773	12143	3545
774	12159	3530
775	12177	3515
776	12193	3499
777	12209	3484
778	12226	3468
779	12241	3452
780	12258	3437
781	12274	3421
782	12289	3405
